query_id,query,search_url,page_loaded,login_wall,visible_result_count,top_10_result_titles,top_10_result_tags_or_labels,top_10_result_types,no_result_text,auto_flags,needs_human_review,claude_relevance_label,claude_issue_type,claude_relevance_reason,claude_confidence,recommended_manual_review_priority
q040,小红书图文笔记模板 数字标题,https://www.curify-ai.com/search?q=%E5%B0%8F%E7%BA%A2%E4%B9%A6%E5%9B%BE%E6%96%87%E7%AC%94%E8%AE%B0%E6%A8%A1%E6%9D%BF%20%E6%95%B0%E5%AD%97%E6%A0%87%E9%A2%98,yes,no,10,the post office | family postoffice | post office | chinese social changes | Journey to the West 5 | eyemask | musical instrument | pendant | INTJ vs ESTP high speed rail | ESTJ vs INTP high speed rail, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “小红书图文笔记模板 数字标题”. Also showing results for: Xiaohongshu post template, digital title template, social media graphic",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,"Results (post office, Journey to the West, MBTI train comparisons) show no connection to Xiaohongshu note templates.",high,P0
q041,小红书对比图 use前后,https://www.curify-ai.com/search?q=%E5%B0%8F%E7%BA%A2%E4%B9%A6%E5%AF%B9%E6%AF%94%E5%9B%BE%20use%E5%89%8D%E5%90%8E,yes,no,10,en 3 | closet | desk | kitchen | bridal hairstyle | casual denim | diamond jewelry | learn before and after | Sun Wukong before and after the Journey to the West — from rebellious Stone Monkey defying Heaven to enlightened Buddha-pilgrim disciple | Walter White transformation from Mr. Chips chemistry teacher to Heisenberg drug kingpin across Breaking Bad seasons, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “小红书对比图 use前后”. Also showing results for: Xiaohongshu comparison chart, before and after Xiaohongshu, Xiaohongshu usage infographic",query_broadened_by_curify;possible_filtering_issue,yes,WARN,bad_relevance,"'Before/after' transformation content (Sun Wukong, Walter White/Breaking Bad) structurally matches the comparison-image concept, but subject matter is unrelated to Xiaohongshu consumer content.",medium,P1
q042,小红书封面模板 白底大字,https://www.curify-ai.com/search?q=%E5%B0%8F%E7%BA%A2%E4%B9%A6%E5%B0%81%E9%9D%A2%E6%A8%A1%E6%9D%BF%20%E7%99%BD%E5%BA%95%E5%A4%A7%E5%AD%97,yes,no,10,microsoft ai dilemma 01 cover | microsoft ai dilemma 01 cover en | one hundred years of solitude cover 1 | eyemask | pendant | ring | Basketball en Michael Jordan LeBron James Kawhi Leonard Shaquille ONeal | en claude infj | en gemini entp | en perplexity intp, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “小红书封面模板 白底大字”. Also showing results for: Xiaohongshu cover template, white background cover, large text template",query_broadened_by_curify;possible_filtering_issue,yes,WARN,missing_content_type,"Book/report 'cover' templates loosely match the 'cover template' concept structurally, but none reflect the specific Xiaohongshu white-background/big-text style.",medium,P1
q043,小红书探店打卡九宫格,https://www.curify-ai.com/search?q=%E5%B0%8F%E7%BA%A2%E4%B9%A6%E6%8E%A2%E5%BA%97%E6%89%93%E5%8D%A1%E4%B9%9D%E5%AE%AB%E6%A0%BC,yes,no,10,pet shop happy paws | long hair women | city fashion | met gala red carpet | brunch | coffee pasta | korean | en 4 | en 5 | autumn park, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “小红书探店打卡九宫格”. Also showing results for: Xiaohongshu store check-in grid, social media store grid, store visit collage",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,bad_relevance;missing_content_type;wrong_decomposition,Lifestyle/location content is loosely adjacent but no 9-grid check-in layout template was returned.,medium,P0
q044,小红书探店笔记封面,https://www.curify-ai.com/search?q=%E5%B0%8F%E7%BA%A2%E4%B9%A6%E6%8E%A2%E5%BA%97%E7%AC%94%E8%AE%B0%E5%B0%81%E9%9D%A2,yes,no,8,Journey to the West 1 | Journey to the West 2 | Journey to the West 3 | ESTJ vs INTP high speed rail | INFJ vs ESFJ high speed rail.JPG | INFJ vs ESFJ home | Book Interpretation Series Graphic | Book Interpretation Series Graphic, |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | template | template,,possible_filtering_issue,yes,WARN,missing_content_type,'Book Interpretation Series Graphic' templates match the cover-format concept but not the store-visit-note subject.,medium,P1
q045,小红书爆款封面 emoji风,https://www.curify-ai.com/search?q=%E5%B0%8F%E7%BA%A2%E4%B9%A6%E7%88%86%E6%AC%BE%E5%B0%81%E9%9D%A2%20emoji%E9%A3%8E,yes,no,10,microsoft ai dilemma 01 cover | microsoft ai dilemma 01 cover en | blessing dragon | bronze rabbit qingqing | moyu zhong | empress cow cat | microsoft ai dilemma 03 deadend strategy | one hundred years of solitude cover 1 | coffee pasta | korean, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “小红书爆款封面 emoji风”. Also showing results for: Xiaohongshu popular cover, emoji style cover design, trending Xiaohongshu poster",query_broadened_by_curify;possible_filtering_issue,yes,WARN,bad_relevance,Character/emoji stickers and cover-style results loosely echo the 'emoji-style cover' concept but no single result matches both elements together.,medium,P1
q046,小红书香薰产品种草图,https://www.curify-ai.com/search?q=%E5%B0%8F%E7%BA%A2%E4%B9%A6%E9%A6%99%E8%96%B0%E4%BA%A7%E5%93%81%E7%A7%8D%E8%8D%89%E5%9B%BE,yes,no,4,eyemask | musical instrument | pendant | Fashion E-commerce Details Category, |  |  | ,inspiration | inspiration | inspiration | template,,possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition,"Only 4 results, none related to aromatherapy/香薰 products.",high,P0
q047,抖音小黄车商品卡片设计,https://www.curify-ai.com/search?q=%E6%8A%96%E9%9F%B3%E5%B0%8F%E9%BB%84%E8%BD%A6%E5%95%86%E5%93%81%E5%8D%A1%E7%89%87%E8%AE%BE%E8%AE%A1,yes,no,6,enfj harry potter | enfp ron weasley | entj hermione granger | marta | MBTI Sports Card Category | MBTI Sports Card Category, |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | template | template,,possible_filtering_issue,yes,WARN,bad_relevance,"MBTI-themed character 'card' templates structurally match the product-card format, but the subject (Harry Potter MBTI) is unrelated to actual product cards.",medium,P1
q048,抖音带货主播人设海报,https://www.curify-ai.com/search?q=%E6%8A%96%E9%9F%B3%E5%B8%A6%E8%B4%A7%E4%B8%BB%E6%92%AD%E4%BA%BA%E8%AE%BE%E6%B5%B7%E6%8A%A5,yes,no,10,wuzetian | family road | hat | amusement park 5 | en claude infj | en perplexity intp | founders en satya | USSR | gameofthrones daenerys | leader gandhi, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “抖音带货主播人设海报”. Also showing results for: Douyin influencer character poster, live stream host profile poster, e-commerce influencer character design",query_broadened_by_curify;possible_filtering_issue,yes,WARN,bad_relevance;competitor_gap,"Historical/pop-culture 'persona' figures loosely match the 'host persona' concept structurally, but no livestream/e-commerce host content exists.",medium,P1
q049,社群接龙团购价目表,https://www.curify-ai.com/search?q=%E7%A4%BE%E7%BE%A4%E6%8E%A5%E9%BE%99%E5%9B%A2%E8%B4%AD%E4%BB%B7%E7%9B%AE%E8%A1%A8,yes,no,0,,,,"No results for ""社群接龙团购价目表""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q050,私域用户运营SOP流程图,https://www.curify-ai.com/search?q=%E7%A7%81%E5%9F%9F%E7%94%A8%E6%88%B7%E8%BF%90%E8%90%A5SOP%E6%B5%81%E7%A8%8B%E5%9B%BE,yes,no,0,,,,"No results for ""私域用户运营sop流程图""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q051,私域裂变任务宝海报,https://www.curify-ai.com/search?q=%E7%A7%81%E5%9F%9F%E8%A3%82%E5%8F%98%E4%BB%BB%E5%8A%A1%E5%AE%9D%E6%B5%B7%E6%8A%A5,yes,no,0,,,,"No results for ""私域裂变任务宝海报""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q052,Gen Alpha slang classroom poster,https://www.curify-ai.com/search?q=Gen%20Alpha%20slang%20classroom%20poster,yes,no,10,musical instruments | shapes | food | en-es | ow | ar | er | student alpaca | restaurant | Ordering Food, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “gen alpha slang classroom poster”. Also showing results for: Gen Alpha slang infographic, classroom vocabulary poster, youth slang educational poster",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;missing_content_type,Generic vocabulary/food flashcards returned; nothing matches 'Gen Alpha slang' specifically.,medium,P0
q053,IEP accommodations checklist visual,https://www.curify-ai.com/search?q=IEP%20accommodations%20checklist%20visual,yes,no,3,running | Men's Lifestyle Step Guide Infographic Poster | Men's Lifestyle Step Guide Infographic Poster, |  | ,inspiration | template | template,"Few results for “iep accommodations checklist visual”. Also showing results for: IEP accommodations infographic, special education checklist, visual IEP support tools",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,low_result;bad_relevance;missing_content_type;competitor_gap,Only 3 results; 'Men's Lifestyle Step Guide' templates loosely match the checklist format but the subject is unrelated to IEP/special-education accommodations.,medium,P0
q054,Montessori butterfly life cycle 3 part cards,https://www.curify-ai.com/search?q=Montessori%20butterfly%20life%20cycle%203%20part%20cards,yes,no,10,en-zh | kitchen utensils | Kid-Friendly Grid Fun-Fact Infographic | Kid-Friendly Grid Fun-Fact Infographic | Kid-Friendly Grid Fun-Fact Infographic | Kid-Friendly Grid Fun-Fact Infographic | Kid-Friendly Grid Fun-Fact Infographic | Kid-Friendly Grid Fun-Fact Infographic | Kid-Friendly Grid Fun-Fact Infographic | Kid-Friendly Grid Fun-Fact Infographic, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | template | template | template | template | template | template | template | template,"Few results for “montessori butterfly life cycle 3 part cards”. Also showing results for: Montessori butterfly life cycle cards, butterfly life cycle educational cards, 3-part butterfly life cycle templates",query_broadened_by_curify;possible_filtering_issue,yes,WARN,missing_content_type,'Kid-Friendly Grid Fun-Fact Infographic' templates are genuine children's-education content (structural match) but not specifically 'butterfly life cycle' or Montessori 3-part card format.,medium,P1
q055,RTI intervention tracker template,https://www.curify-ai.com/search?q=RTI%20intervention%20tracker%20template,yes,no,0,,,,"No results for ""rti intervention tracker template""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q056,STEM challenge card printable,https://www.curify-ai.com/search?q=STEM%20challenge%20card%20printable,yes,no,10,crayon shinchan shinnosuke nohara | dna double helix | plate tectonics | dragon's blood | notoginseng | aging society impact | declining fertility rate | fish lantern | paper cutting | egret, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “stem challenge card printable”. Also showing results for: STEM challenge printable, STEM activity card, printable STEM project card",query_broadened_by_curify;possible_filtering_issue,yes,WARN,bad_relevance,"'DNA double helix' and 'plate tectonics' are genuine STEM science content; several other results (herbal medicine, intangible-heritage crafts) are off-topic, and printable-card format is not clearly evidenced.",medium,P1
q057,WIDA can-do descriptors chart,https://www.curify-ai.com/search?q=WIDA%20can-do%20descriptors%20chart,yes,no,0,,,,"No results for ""wida can-do descriptors chart""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q058,behavior clip chart classroom,https://www.curify-ai.com/search?q=behavior%20clip%20chart%20classroom,yes,no,10,ghibli birth month seasons | ghibli chinese zodiac characters | ghibli zodiac spirit animals | weather pinyin | cloudy | rain | rainy | chemistry reactions chart | basketball shot chart | Educational Topic Cheat Sheet Poster, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | template,"Few results for “behavior clip chart classroom”. Also showing results for: classroom behavior chart, behavior management clip chart, classroom clip chart",query_broadened_by_curify,yes,WARN,missing_content_type,"Chart-format templates (chemistry, basketball, cheat-sheet) structurally match the 'chart' concept but none address classroom behavior-management specifically.",medium,P1
q059,charlotte mason copywork printable,https://www.curify-ai.com/search?q=charlotte%20mason%20copywork%20printable,yes,no,10,animal actions english spanish | desserts english spanish | Colors | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | template | template | template | template | template | template | template,"Few results for “charlotte mason copywork printable”. Also showing results for: Charlotte Mason copywork template, copywork printable sheet, Charlotte Mason educational resource",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,Language flashcards and dance-tutorial infographics returned; nothing related to copywork/handwriting-practice printables.,high,P0
q060,coding unplugged activity cards,https://www.curify-ai.com/search?q=coding%20unplugged%20activity%20cards,yes,no,10,daily activities | en-ja | outdoor adventures | depression | energy boost | low spend | desserts | fruits | kitchen utensils | body expressions, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “coding unplugged activity cards”. Also showing results for: coding activity cards, unplugged coding templates, educational coding activities",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,Results are unrelated lifestyle/food/wellness content; nothing related to coding or unplugged CS activities.,high,P0
q061,decodable readers CVC words printable,https://www.curify-ai.com/search?q=decodable%20readers%20CVC%20words%20printable,yes,no,4,animal actions english spanish | desserts english spanish | en-es | Language Learning Card Category, |  |  | ,inspiration | inspiration | inspiration | template,"Few results for “decodable readers cvc words printable”. Also showing results for: cvc words printable, decodable readers templates, printable phonics worksheets",query_broadened_by_curify;possible_filtering_issue,yes,WARN,missing_content_type,Only 4 results; language-learning flashcard content is topically adjacent (phonics/early-reading) but not specifically CVC/decodable-reader format.,medium,P1
q062,first then board autism,https://www.curify-ai.com/search?q=first%20then%20board%20autism,yes,no,0,,,,"No results for ""first then board autism""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q063,loop schedule homeschool printable,https://www.curify-ai.com/search?q=loop%20schedule%20homeschool%20printable,yes,no,10,animal actions english spanish | desserts english spanish | Colors | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | template | template | template | template | template | template | template,"Few results for “loop schedule homeschool printable”. Also showing results for: homeschool schedule template, looping schedule printable, educational planner",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,Same irrelevant language-flashcard/dance-infographic cluster as other homeschool queries; nothing related to loop scheduling.,high,P0
q064,maker space label set printable,https://www.curify-ai.com/search?q=maker%20space%20label%20set%20printable,yes,no,10,closet | living room shelf | kitchen | before after kitchen organization makeover | astronaut space | student space station | Indian Manned Space 3 | Indian anned Space 1 | Astronomy Knowledge | space, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “maker space label set printable”. Also showing results for: maker space printable labels, DIY maker space tags, maker space organization printables",query_broadened_by_curify,yes,FAIL,wrong_decomposition;bad_relevance;missing_content_type,Query matched the generic word 'space' (outer space/astronomy) instead of 'maker space'; nothing related to printable labels.,high,P0
q065,newcomer welcome kit printable,https://www.curify-ai.com/search?q=newcomer%20welcome%20kit%20printable,yes,no,10,animal actions english spanish | desserts english spanish | Colors | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic | Ballroom Dance Step Vintage Tutorial Infographic, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | template | template | template | template | template | template | template,"Few results for “newcomer welcome kit printable”. Also showing results for: new employee welcome kit, welcome kit template, printable onboarding materials",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;competitor_gap,Same recurring irrelevant language-flashcard/dance-infographic cluster; nothing related to newcomer welcome kits.,high,P0
q066,sub tub emergency lesson plan folder cover,https://www.curify-ai.com/search?q=sub%20tub%20emergency%20lesson%20plan%20folder%20cover,yes,no,0,,,,"No results for ""sub tub emergency lesson plan folder cover""",zero_result,yes,FAIL,zero_result,Zero results returned for this query.,high,P0
q067,visual schedule strips autism classroom,https://www.curify-ai.com/search?q=visual%20schedule%20strips%20autism%20classroom,yes,no,10,student classroom | student library | shinchan classroom | iran2 | iran3 | desserts | greeting | the library | bank | family members, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “visual schedule strips autism classroom”. Also showing results for: autism classroom visual schedule, classroom schedule strips, visual schedule templates",query_broadened_by_curify,yes,WARN,bad_relevance;missing_content_type,Classroom-setting images are present (topically adjacent) but no visual-schedule-strip tool specifically; several unrelated country/bank items mixed in.,medium,P1
q068,zones of regulation poster classroom,https://www.curify-ai.com/search?q=zones%20of%20regulation%20poster%20classroom,yes,no,10,iran2 | musical instruments | shapes | food | en-es | ow | ar | er | student alpaca | debt habits part 4, |  |  |  |  |  |  |  |  | ,inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration | inspiration,"Few results for “zones of regulation poster classroom”. Also showing results for: zones of regulation infographic, regulation strategies poster, classroom behavior chart",query_broadened_by_curify;possible_filtering_issue,yes,FAIL,bad_relevance;wrong_decomposition;missing_content_type;competitor_gap,Generic vocabulary flashcards and unrelated items; nothing addresses the Zones of Regulation SEL framework.,high,P0
